"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","spend_share","spend_share_refresh","mean_spend","total_spend","mean_exposure","mean_exposure_refresh","effect_share","effect_share_refresh","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","solID","trial","iterNG","iterPar","boot_mean","ci_low","ci_up","robynPareto","mean_response","mean_spend_adstocked","mean_carryover","roi_mean","roi_total","cpa_mean","cpa_total","bestModRF","refreshStatus","iterations","cluster","top_sol","boot_se","carryover_pct"
"1","(Intercept)",69108.4932834418,10850033.4455004,0.0375631279585753,69108.4932834418,0.0211674242359181,10850033.4455004,0.0375631279585753,69108.4932834418,0.0211674242359181,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,0.944612551721575,NA,NA,0.0527021557420157,NA,NA,0.0527021557420157,0.337342098693525,0,59739.7155980717,59739.7155980717,65481090.2533626,1e-04,"5_277_2",1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,TRUE,0,NA,NA,NA,NA,NA
"2","trend",0.291674947327312,81611932.3236819,0.282542857791134,519821.224991605,0.159217425723682,81611932.3236819,0.282542857791134,519821.224991605,0.159217425723682,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,0.944612551721575,NA,NA,0.0527021557420157,NA,NA,0.0527021557420157,0.337342098693525,0,59739.7155980717,59739.7155980717,65481090.2533626,1e-04,"5_277_2",1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,TRUE,0,NA,NA,NA,NA,NA
"3","season",0.336260009871963,123100.723296423,0.000426178245827838,784.081040104607,0.000240158267423995,123100.723296423,0.000426178245827838,784.081040104607,0.000240158267423995,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,0.944612551721575,NA,NA,0.0527021557420157,NA,NA,0.0527021557420157,0.337342098693525,0,59739.7155980717,59739.7155980717,65481090.2533626,1e-04,"5_277_2",1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,TRUE,0,NA,NA,NA,NA,NA
"4","holiday",0.942374276052185,6558501.14195469,0.0227057196504656,262340.045678188,0.0803528304135498,6558501.14195469,0.0227057196504656,262340.045678188,0.0803528304135498,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,0.944612551721575,NA,NA,0.0527021557420157,NA,NA,0.0527021557420157,0.337342098693525,0,59739.7155980717,59739.7155980717,65481090.2533626,1e-04,"5_277_2",1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,TRUE,0,NA,NA,NA,NA,NA
"5","competitor_sales_B",0.160380837803781,139729708.598614,0.483748271382597,889998.143940214,0.272599898896595,139729708.598614,0.483748271382597,889998.143940214,0.272599898896595,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,0.944612551721575,NA,NA,0.0527021557420157,NA,NA,0.0527021557420157,0.337342098693525,0,59739.7155980717,59739.7155980717,65481090.2533626,1e-04,"5_277_2",1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,TRUE,0,NA,NA,NA,NA,NA
"6","events",0.952389717477664,1212210.24760891,0.00419670675416336,1212210.24760891,0.371291101211333,1212210.24760891,0.00419670675416336,1212210.24760891,0.371291101211333,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,0.944612551721575,NA,NA,0.0527021557420157,NA,NA,0.0527021557420157,0.337342098693525,0,59739.7155980717,59739.7155980717,65481090.2533626,1e-04,"5_277_2",1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,TRUE,0,NA,NA,NA,NA,NA
"7","tv_S",699419.168432062,13974099.6526118,0.0483787350512388,89007.0041567633,0.0272621920612144,13974099.6526118,0.0483787350512388,89007.0041567633,0.0272621920612144,TRUE,0.206047362680601,0.206047362680601,16505.80985138,2591412.14666667,NA,NA,0.363921265083373,0.363921265083373,1,0.944612551721575,NA,NA,0.0527021557420157,NA,NA,0.0527021557420157,0.337342098693525,0,59739.7155980717,59739.7155980717,65481090.2533626,1e-04,"5_277_2",1,1,1,5.2732812982,4.7845114127,5.7644267914,1,89007.0041567633,25103.1990603626,8597.38920898257,5.39246513550024,5.39246513550024,0.185443943516055,0.185443943516055,TRUE,0,NA,NA,NA,NA,NA
"8","ooh_S",254479.721776202,14535390.8767156,0.0503219414181998,92582.107495004,0.0283572199724353,14535390.8767156,0.0503219414181998,92582.107495004,0.0283572199724353,TRUE,0.655151359349006,0.655151359349006,52482.1265392781,8239693.86666667,NA,NA,0.378538722911354,0.378538722911354,1,0.944612551721575,NA,NA,0.0527021557420157,NA,NA,0.0527021557420157,0.337342098693525,0,59739.7155980717,59739.7155980717,65481090.2533626,1e-04,"5_277_2",1,1,1,1.4102671493,1.091076722,1.7290155533,1,92582.107495004,87910.6649210257,35428.5383817475,1.76406928605903,1.76406928605903,0.566871158577916,0.566871158577916,TRUE,0,NA,NA,NA,NA,NA
"9","print_S",289293.817045,6054101.79248908,0.0209594745903587,38561.1579139432,0.0118109996298854,6054101.79248908,0.0209594745903587,38561.1579139432,0.0118109996298854,TRUE,0.0478369682055284,0.0478369682055284,3832.06992215145,601634.977777778,NA,NA,0.157664281637948,0.157664281637948,1,0.944612551721575,NA,NA,0.0527021557420157,NA,NA,0.0527021557420157,0.337342098693525,0,59739.7155980717,59739.7155980717,65481090.2533626,1e-04,"5_277_2",1,1,1,10.3790102736,9.3155641405,11.4396277238,1,38561.1579139432,4319.50987072332,487.439948571871,10.0627490357205,10.0627490357205,0.0993764225312806,0.0993764225312806,TRUE,0,NA,NA,NA,NA,NA
"10","facebook_I",65531.2530170852,1628241.58349418,0.00563701920878685,10370.965499963,0.00317655060968294,1628241.58349418,0.00563701920878685,10370.965499963,0.00317655060968294,TRUE,0.0265630827769259,0.0265630827769259,2127.88549039596,334078.021992166,8174056.93044,8174056.93044,0.0424035717260544,0.0424035717260544,1,0.944612551721575,NA,NA,0.0527021557420157,NA,NA,0.0527021557420157,0.337342098693525,0,59739.7155980717,59739.7155980717,65481090.2533626,1e-04,"5_277_2",1,1,1,3.0844932885,0.50785316794,5.6714864119,1,10370.965499963,2182.54598598825,54.660495592284,4.87383627867733,4.87383627867733,0.205177183397589,0.205177183397589,TRUE,0,NA,NA,NA,NA,NA
